"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"conventional statisticians",NA,NA,5,"prose","So it is not surprising that conventional statisticians often use the normal distribution in their mathematical derivations with the hope that their results wil | After all this, it's hardly surprising that, in developing their theory as well as their tools and techniques, conventional statisticians have been very happy t | [*The quality of the* **measurement process** *itself seems to be too little considered by conventional statisticians, let alone non-statisticians. The numbers ",TRUE
"defeats constancy",NA,NA,5,"prose","**Short-term thinking defeats constancy of purpose to stay in business with long-term growth.** | **DISEASE 2.** [Short-term thinking defeats constancy of purpose.] *(Day 5 pages 20--21.)*",TRUE
"define top",NA,NA,5,"prose","**Clearly define top management's permanent commitment to ever-improving quality and productivity,** and their obligation to implement all of these principles.  | **POINT 14.** [Clearly define top management's permanent commitment to ever-improving quality and productivity.] *(Day 5 pages 16--17.)*",TRUE
"define top management's",NA,NA,5,"prose","**Clearly define top management's permanent commitment to ever-improving quality and productivity,** and their obligation to implement all of these principles.  | **POINT 14.** [Clearly define top management's permanent commitment to ever-improving quality and productivity.] *(Day 5 pages 16--17.)*",TRUE
"Deming's flow",NA,NA,5,"prose","An organisation chart! How the organisation should be organised! As opposed to what? Well, I think you may agree that there is some rather neat implicit teachin | How would you describe the relationship between Shewhart's diagram of the ""New Way"" (refer back to the diagram on page 3 and also to your thoughts on page 4) wi | Surely the ""New Way"" diagram is an embryonic version of Deming's flow diagram---and in fact, with Shewhart's particular choice of words, of Deming's original ""P",TRUE
"Deming's flow diagram",NA,NA,5,"prose","An organisation chart! How the organisation should be organised! As opposed to what? Well, I think you may agree that there is some rather neat implicit teachin | How would you describe the relationship between Shewhart's diagram of the ""New Way"" (refer back to the diagram on page 3 and also to your thoughts on page 4) wi | Surely the ""New Way"" diagram is an embryonic version of Deming's flow diagram---and in fact, with Shewhart's particular choice of words, of Deming's original ""P",TRUE
"dimensional version",NA,NA,5,"prose","The prime purpose of Day 3 as a whole is best summarised by the short title of Don Wheeler's excellent little book: *Understanding Variation*. So, looking forwa | Believe me—my version is easier to perform and also results in less laundry costs! Basically, it's a one-dimensional version of the experiment, whereas the Funn | So, in our one-dimensional version, imagine we have two tracks both like the following:",TRUE
"dynamic scientific",NA,NA,5,"prose","### ""A dynamic scientific process of acquiring knowledge"" | > ""The three steps constitute a dynamic scientific process of acquiring knowledge."" | A dynamic scientific process of acquiring knowledge! Rather different from *done; finished; gone!* And this was back in 1939---hardly ""rocket science""! But emin",TRUE
"dynamic scientific process",NA,NA,5,"prose","### ""A dynamic scientific process of acquiring knowledge"" | > ""The three steps constitute a dynamic scientific process of acquiring knowledge."" | A dynamic scientific process of acquiring knowledge! Rather different from *done; finished; gone!* And this was back in 1939---hardly ""rocket science""! But emin",TRUE
"economic loss",NA,NA,5,"prose","> “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | > ""How can we aim for minimum economic loss? It is *nothing* to do with probabilities of the two kinds of mistakes. No, no, no, no: not at all. What we need is  | > ""How can we aim for minimum economic loss? It is *nothing* to do with probabilities of the two kinds of mistakes. No, no, no, no: not at all. … It is not a ma",TRUE
"eight options",NA,NA,5,"prose","Two side-by-side worksheets sharing the same layout: a tall left column **Areas and their Options** (rows grouped by Area A in blue, Area B in orange, Area C in | So, as in *DemDim*, three options are adopted in both Areas A and C, and two options in Area B. Otherwise Table One simply shows that all eight options are adva | The conclusion from this basic version of the exercise is that, since there happen to be an equal number of + signs and − signs in Table Two, all that work of a",TRUE
